name,address,city,state,zip,latitude,longitude,website
Ross Medical Education Center-Roosevelt Park,"950 Norton Avenue, Suite D",Roosevelt Park,MI,49441,43.19252,-86.266824,www.rosseducation.edu
Southeastern College-Greenacres,"6812 Forest Hill Blvd, Suite D-1",Greenacres,FL,33413,26.649505,-80.150064,www.keisercareer.edu
Ross Medical Education Center-Kentwood,"4528 Breton Road, Se",Kentwood,MI,48508,42.916861,-85.572735,www.rosseducation.edu
Ottawa University-Milwaukee,"245 South Executive Drive, Suite 110",Brookfield,WI,53005,43.02963,-88.115185,www.ottawa.edu
Cloyd'S Barber School 2 Inc,1311 Winnsboro Rd,Monroe,LA,71202,32.484321,-92.091773,cloydsbarberschool.com
The Illinois Institute Of Art-Schaumburg,"1000 Plaza Drive, Ste. 100",Schaumburg,IL,60173,42.045749,-88.043871,www.ilia.aii.edu
Universal Technical Institute Of Illinois Inc,601 Regency Dr,Glendale Heights,IL,60139,41.930363,-88.069874,www.uti.edu/
Intercoast Colleges-Orange,3745 W. Chapman Avenue  #100,Orange,CA,92868,33.789372,-117.893486,www.intercoast.edu
Stone Child College,8294 Upper Box Elder Road,Box Elder,MT,59521,48.300808,-109.868119,www.stonechild.edu
Empire Beauty School-Arvada,6520 Wadsworth Blvd. #209,Arvada,CO,80003,39.814965,-105.080647,www.empire.edu
New York Academy Of Art,111 Franklin St,New York,NY,10013,40.718388,-74.006019,www.nyaa.edu
Westwood College-Denver South,3150 S Sheridan Blvd,Denver,CO,80227,39.654061,-105.047942,www.westwood.edu
Suffolk County Community College,533 College Rd,Selden,NY,11784,40.848963,-73.056165,www3.sunysuffolk.edu
Las Positas College,3000 Campus Hill Drive,Livermore,CA,94551,37.711151,-121.801136,www.laspositascollege.edu
Ogeechee Technical College,One Joseph E. Kennedy Blvd,Statesboro,GA,30458,32.395767,-81.818517,www.ogeecheetech.edu
Linfield College-Nursing & Health Sciences,2255 Nw Northrup St,Portland,OR,97210,45.531529,-122.697345,www.linfield.edu/portland/
Remington College-Mobile Campus,828 Downtowner Loop W,Mobile,AL,36609,30.671139,-88.145035,www.remingtoncollege.edu/mobile-alabama-colleges-campus
Everest College-Aurora,14280 East Jewell Ave,Aurora,CO,80012,39.681237,-104.822034,www.everest.edu/campus/aurora
Linfield College-Adult Degree Program,900 Se Baker Street,Mcminnville,OR,97128,45.201336,-123.20045,www.linfield.edu/dce/
Academy Of Massage Therapy,"321 Main Street, 2Nd Floor",Hackensack,NJ,7601,40.888721,-74.040623,www.academyofmassage.com
Southwest Florida College,1685 Medical Lane,Fort Myers,FL,33907,26.596097,-81.877644,www.swfc.edu
Kaplan College-Denver,"500 E. 84Th Ave., W-200",Thornton,CO,80229,39.847367,-104.981809,denver.kaplancollege.com/pages/homepage.aspx
Star Career Academy-Syosset,125 Michael Drive,Syosset,NY,11791,40.805326,-73.519957,www.starcareeracademy.com/
Mercy/St Luke'S School Of Radiologic Technology,1026 A Ave Ne,Cedar Rapids,IA,52402,41.985552,-91.660609,www.isrt.org/resourcecenter/mstl.aspx
Midwest Technical Institute-Springfield,2731 Farmers Market Road,Springfield,IL,62707,39.840996,-89.595331,midwesttech.edu
Itt Technical Institute-San Bernardino,670 E Carnegie Drive,San Bernardino,CA,92408,34.070068,-117.270676,www.itt-tech.edu
Oklahoma Health Academy-Tulsa,Not Available,Not Available,OK,not available,36.091395,-95.947892,not available
Oklahoma Health Academy-Moore,1939 N. Moore Avenue,Moore,OK,73160,35.354568,-97.496209,www.oha.edu
