Name,CollegeID,State_Abbreviation,State
Saint Cloud State University,483,Minnesota,24
Saint Johns University,484,Minnesota,24
Saint Mary'S University Of Minnesota,485,Minnesota,24
St Olaf College,486,Minnesota,24
Crown College,487,Minnesota,24
The College Of Saint Scholastica,488,Minnesota,24
University Of St Thomas,489,Minnesota,24
St Catherine University,490,Minnesota,24
Southwest Minnesota State University,491,Minnesota,24
Winona State University,492,Minnesota,24
Alcorn State University,493,Mississippi,25
Belhaven University,494,Mississippi,25
Blue Mountain College,495,Mississippi,25
Delta State University,496,Mississippi,25
Jackson State University,497,Mississippi,25
Millsaps College,498,Mississippi,25
University Of Mississippi,499,Mississippi,25
Mississippi University For Women,500,Mississippi,25
Mississippi Valley State University,501,Mississippi,25
Mississippi College,502,Mississippi,25
Mississippi State University,503,Mississippi,25
Rust College,504,Mississippi,25
University Of Southern Mississippi,505,Mississippi,25
William Carey University,506,Mississippi,25
Avila University,507,Missouri,26
University Of Central Missouri,508,Missouri,26
Culver-Stockton College,509,Missouri,26
Drury University,510,Missouri,26
Evangel University,511,Missouri,26
Fontbonne University,512,Missouri,26
Hannibal-Lagrange University,513,Missouri,26
Lindenwood University,514,Missouri,26
Maryville University Of Saint Louis,515,Missouri,26
Missouri Baptist University,516,Missouri,26
Missouri Southern State University,517,Missouri,26
Missouri Valley College,518,Missouri,26
University Of Missouri-Columbia,519,Missouri,26
University Of Missouri-Kansas City,520,Missouri,26
Missouri University Of Science And Technology,521,Missouri,26
University Of Missouri-St Louis,522,Missouri,26
Truman State University,523,Missouri,26
Northwest Missouri State University,524,Missouri,26
College Of The Ozarks,525,Missouri,26
Rockhurst University,526,Missouri,26
Saint Louis University,527,Missouri,26
Southwest Baptist University,528,Missouri,26
Stephens College,529,Missouri,26
Southeast Missouri State University,530,Missouri,26
Missouri State University-Springfield,531,Missouri,26
Washington University In St Louis,532,Missouri,26
Webster University,533,Missouri,26
Westminster College,534,Missouri,26
William Woods University,535,Missouri,26
Carroll College,536,Montana,27
Montana Tech Of The University Of Montana,537,Montana,27
Montana State University,538,Montana,27
The University Of Montana,539,Montana,27
Montana State University-Northern,540,Montana,27
Rocky Mountain College,541,Montana,27
Concordia University-Nebraska,542,Nebraska,28
Creighton University,543,Nebraska,28
Doane College-Crete,544,Nebraska,28
Grace University,545,Nebraska,28
Hastings College,546,Nebraska,28
University Of Nebraska At Kearney,547,Nebraska,28
Midland University,548,Nebraska,28
University Of Nebraska At Omaha,549,Nebraska,28
Nebraska Wesleyan University,550,Nebraska,28
University Of Nebraska-Lincoln,551,Nebraska,28
College Of Saint Mary,552,Nebraska,28
Union College,349,Nebraska,28
York College,553,Nebraska,28
University Of Nevada-Las Vegas,554,Nevada,29
University Of Nevada-Reno,555,Nevada,29
Dartmouth College,556,New Hampshire,30
Franklin Pierce University,557,New Hampshire,30
Southern New Hampshire University,558,New Hampshire,30
Keene State College,559,New Hampshire,30
Plymouth State University,560,New Hampshire,30
Rivier University,561,New Hampshire,30
Saint Anselm College,562,New Hampshire,30
Bloomfield College,563,New Jersey,31
Caldwell College,564,New Jersey,31
Centenary College,565,New Jersey,31
Drew University,566,New Jersey,31
Fairleigh Dickinson University-Metropolitan Campus,567,New Jersey,31
Felician College,568,New Jersey,31
Fairleigh Dickinson University-College At Florham,569,New Jersey,31
Georgian Court University,570,New Jersey,31
Rowan University,571,New Jersey,31
New Jersey City University,572,New Jersey,31
Kean University,573,New Jersey,31
Monmouth University,574,New Jersey,31
Montclair State University,575,New Jersey,31
New Jersey Institute Of Technology,576,New Jersey,31
Ramapo College Of New Jersey,577,New Jersey,31
Rider University,578,New Jersey,31
Rutgers University-Camden,579,New Jersey,31
Rutgers University-New Brunswick,580,New Jersey,31
Rutgers University-Newark,581,New Jersey,31
Saint Peter'S University,582,New Jersey,31
Seton Hall University,583,New Jersey,31
College Of Saint Elizabeth,584,New Jersey,31
The Richard Stockton College Of New Jersey,585,New Jersey,31
The College Of New Jersey,586,New Jersey,31
William Paterson University Of New Jersey,587,New Jersey,31
Eastern New Mexico University-Main Campus,588,New Mexico,32
New Mexico Institute Of Mining And Technology,589,New Mexico,32
University Of New Mexico-Main Campus,590,New Mexico,32
New Mexico State University-Main Campus,591,New Mexico,32
Vaughn College Of Aeronautics And Technology,592,New York,33
Adelphi University,593,New York,33
Alfred University,594,New York,33
Barnard College,595,New York,33
Canisius College,596,New York,33
Clarkson University,597,New York,33
Colgate University,598,New York,33
Columbia University In The City Of New York,599,New York,33
Concordia College-New York,600,New York,33
Cooper Union For The Advancement Of Science And Art,601,New York,33
Cornell University,602,New York,33
Cuny Bernard M Baruch College,603,New York,33
Cuny Brooklyn College,604,New York,33
College Of Staten Island Cuny,605,New York,33
Cuny City College,606,New York,33
Cuny Hunter College,607,New York,33
Cuny John Jay College Of Criminal Justice,608,New York,33
Cuny Lehman College,609,New York,33
Cuny Queens College,610,New York,33
D'Youville College,611,New York,33
Elmira College,612,New York,33
Fordham University,613,New York,33
Hamilton College,614,New York,33
Hartwick College,615,New York,33
Hofstra University,616,New York,33
Houghton College,617,New York,33
Iona College,618,New York,33
Le Moyne College,619,New York,33
Liu Brooklyn,620,New York,33
Liu Post,621,New York,33
Manhattan College,622,New York,33
Manhattanville College,623,New York,33
Medaille College,624,New York,33
Molloy College,625,New York,33
Mount Saint Mary College,626,New York,33
College Of Mount Saint Vincent,627,New York,33
The College Of New Rochelle,628,New York,33
The New School,629,New York,33
New York University,630,New York,33
Niagara University,631,New York,33
New York Institute Of Technology,632,New York,33
Nyack College,633,New York,33
Pace University-New York,634,New York,33
Paul Smiths College Of Arts And Science,635,New York,33
Polytechnic Institute Of New York University,636,New York,33
Rensselaer Polytechnic Institute,637,New York,33
Roberts Wesleyan College,638,New York,33
Rochester Institute Of Technology,639,New York,33
St Bonaventure University,640,New York,33
St Francis College,641,New York,33
St Thomas Aquinas College,642,New York,33
Siena College,643,New York,33
Skidmore College,644,New York,33
Saint John Fisher College,645,New York,33
St John'S University-New York,646,New York,33
Suny College Of Technology At Alfred,647,New York,33
Farmingdale State College,648,New York,33
Suny At Albany,649,New York,33
Suny At Binghamton,650,New York,33
University At Buffalo,651,New York,33
Stony Brook University,652,New York,33
Suny College Of Environmental Science And Forestry,653,New York,33
Suny Institute Of Technology At Utica-Rome,654,New York,33
Suny College At Brockport,655,New York,33
Buffalo State Suny,656,New York,33
Suny College At Cortland,657,New York,33
Suny At Fredonia,658,New York,33
Suny College At Geneseo,659,New York,33
State University Of New York At New Paltz,660,New York,33
Suny Oneonta,661,New York,33
Suny College At Oswego,662,New York,33
Suny At Purchase College,663,New York,33
Suny College At Old Westbury,664,New York,33
Suny College At Plattsburgh,665,New York,33
Suny Maritime College,666,New York,33
Syracuse University,667,New York,33
Utica College,668,New York,33
Vassar College,669,New York,33
Wagner College,670,New York,33
Yeshiva University,671,New York,33
Appalachian State University,672,North Carolina,34
Barton College,673,North Carolina,34
Campbell University,674,North Carolina,34
Chowan University,675,North Carolina,34
Davidson College,676,North Carolina,34
